"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
"2023-11-06",20231106,"Home","New Hampshire","W",83,72,"OOC",11,"New Hampshire 20231106",186,"Other",78,106.5,92.4,83,72,31.3,23.8,14.1,34.1,40.3,45.6,25.8,20.5,29.8,27.9,"Syracuse"
"2023-11-08",20231108,"Home","Canisius","W",89,77,"OOC",12,"Canisius 20231108",171,"Other",70,128,110.7,89,77,29.2,36.8,14.4,38.2,29.2,34.4,45.5,17.2,40,26.6,"Syracuse"
"2023-11-14",20231114,"Home","Colgate","W",79,75,"OOC",4,"Colgate 20231114",120,"Other",75,104.9,99.5,79,75,47.8,28.1,9.3,19.1,29.9,40,37.5,25.2,29.4,21.7,"Syracuse"
"2023-11-20",20231120,"Away","Tennessee","L",56,73,"OOC",-17,"Tennessee 20231120",8,"NET Top 50",76,73.2,95.5,56,73,33.3,30,19.6,14.6,28.3,23.3,35.7,20.9,32.5,45,"Syracuse"
"2023-11-21",20231121,"Away","Gonzaga","L",57,76,"OOC",-19,"Gonzaga 20231121",15,"NET Top 50",71,80,106.7,57,76,37.5,12.5,18.2,24.4,15.6,31.2,35,25.3,48.6,18.8,"Syracuse"
"2023-11-22",20231122,"Away","Chaminade","W",105,56,"OOC",49,"Chaminade 20231122",NA,"Other",77,137.1,73.1,105,56,38.5,40,13.1,42.9,9,44.3,22.6,17,20,11.4,"Syracuse"
"2023-11-28",20231128,"Home","LSU","W",80,57,"OOC",23,"LSU 20231128",127,"Other",72,111.4,79.3,80,57,33.3,52.4,20.9,42.5,36.5,36.1,9.1,26.4,33.3,16.4,"Syracuse"
"2023-12-02",20231202,"Away","Virginia","L",62,84,"ACC",-22,"Virginia 20231202",24,"NET Top 50",66,94.5,128.1,62,84,37,25,21.4,28.6,35.2,38.2,57.1,15.2,32,27.3,"Syracuse"
"2023-12-05",20231205,"Home","Cornell","W",81,70,"OOC",11,"Cornell 20231205",98,"NET Top 100",74,108.9,94.1,81,70,47.1,40.6,16.1,30.9,20.6,50.8,27.3,20.2,28.9,26.1,"Syracuse"
"2023-12-09",20231209,"Away","Georgetown",NA,NA,NA,"OOC",NA,"Georgetown 20231209",214,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syracuse"
"2023-12-17",20231217,"Away","Oregon",NA,NA,NA,"OOC",NA,"Oregon 20231217",53,"NET Top 100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syracuse"
"2023-12-21",20231221,"Home","Niagara",NA,NA,NA,"OOC",NA,"Niagara 20231221",326,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syracuse"
"2023-11-06",20231106,"Home","Southern","W",108,75,"OOC",33,"Southern 20231106",274,"Other",75,143.8,99.8,108,75,32.9,43.5,17.3,50,24.3,36.9,41.7,21.3,33.3,20,"TCU"
"2023-11-09",20231109,"Home","Nebraska-Omaha","W",82,60,"OOC",22,"Nebraska-Omaha 20231109",301,"Other",77,106.4,77.8,82,60,21.1,20,20.8,42.9,14.1,32.1,33.3,20.8,11.9,39.3,"TCU"
"2023-11-14",20231114,"Home","UT Rio Grande Valley","W",88,55,"OOC",33,"UT Rio Grande Valley 20231114",331,"Other",76,116.2,72.7,88,55,25,47.1,23.8,45.5,16.2,19.6,18.2,27.7,21.6,23.2,"TCU"
"2023-11-17",20231117,"Home","Mississippi Valley State","W",86,52,"OOC",34,"Mississippi Valley State 20231117",362,"Other",70,123.4,74.6,86,52,30.4,35.3,14.3,36.7,53.6,21.2,27.3,30.1,29.4,28.9,"TCU"
"2023-11-21",20231121,"Home","Alcorn State","W",93,74,"OOC",19,"Alcorn State 20231121",314,"Other",81,115.2,91.7,93,74,47.4,25.9,18.6,25,68.4,30.2,31.6,22.3,30.9,36.5,"TCU"
"2023-11-27",20231127,"Home","Houston Christian","W",101,64,"OOC",37,"Houston Christian 20231127",360,"Other",81,124.5,78.9,101,64,25.4,29.4,7.4,10.3,32.8,21.9,28.6,29.6,26.3,12.5,"TCU"
"2023-12-02",20231202,"Away","Georgetown","W",84,83,"OOC",1,"Georgetown 20231202",214,"Other",70,119.3,117.9,84,83,30.8,35,17.1,41.2,26.1,47.2,48,18.5,34.4,58.5,"TCU"
"2023-12-09",20231209,"Away","Clemson",NA,NA,NA,"OOC",NA,"Clemson 20231209",19,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU"
"2023-12-16",20231216,"Away","Arizona State",NA,NA,NA,"OOC",NA,"Arizona State 20231216",118,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU"
"2023-12-21",20231221,"Away","Old Dominion",NA,NA,NA,"OOC",NA,"Old Dominion 20231221",246,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU"
"2023-11-06",20231106,"Home","Jackson St.","W",94,77,"OOC",17,"Jackson St. 20231106",253,"Other",82,114.2,93.5,94,77,41.8,39.3,19.4,27.8,34.3,47.6,33.3,27.9,31.4,19.1,"Memphis"
"2023-11-10",20231110,"Away","Missouri","W",70,55,"OOC",15,"Missouri 20231110",97,"NET Top 100",70,99.5,78.2,70,55,30.6,36.8,15.6,28.2,25.8,50,21.4,17.1,12.2,30.4,"Memphis"
"2023-11-17",20231117,"Home","Alabama State","W",92,75,"OOC",17,"Alabama State 20231117",316,"Other",76,121.8,99.3,92,75,41,44,23.8,46.9,37.7,30.2,38.5,10.6,41.7,17.4,"Memphis"
"2023-11-22",20231122,"Away","Michigan","W",71,67,"OOC",4,"Michigan 20231122",75,"NET Top 100",69,103.1,97.3,71,67,42.1,41.7,16,16.2,28.1,39.3,33.3,26.1,46.3,27.9,"Memphis"
"2023-11-23",20231123,"Away","Arkansas","W",84,79,"OOC",5,"Arkansas 20231123",64,"NET Top 100",72,116.6,109.7,84,79,45.3,33.3,18.1,31,56.6,32.7,38.9,25,46.4,49.1,"Memphis"
"2023-11-24",20231124,"Away","Villanova","L",63,79,"OOC",-16,"Villanova 20231124",40,"NET Top 50",70,90.3,113.3,63,79,43.9,28,15.8,22.5,40.4,57.4,37.1,14.3,27,29.5,"Memphis"
"2023-12-02",20231202,"Away","Ole Miss","L",77,80,"OOC",-3,"Ole Miss 20231202",100,"NET Top 100",76,101.8,105.8,77,80,24.7,16.7,17.2,35.6,20.6,34.4,50,17.2,27.8,23.4,"Memphis"
"2023-12-06",20231206,"Away","VCU","W",85,80,"OOC",5,"VCU 20231206",105,"Other",67,113.5,106.8,85,80,36.8,38.1,24,39.4,50.9,42,24.1,16,39.5,30.4,"Memphis"
"2023-12-10",20231210,"Away","Texas A&M",NA,NA,NA,"OOC",NA,"Texas A&M 20231210",18,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Memphis"
"2023-12-16",20231216,"Home","Clemson",NA,NA,NA,"OOC",NA,"Clemson 20231216",19,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Memphis"
"2023-12-19",20231219,"Home","Virginia",NA,NA,NA,"OOC",NA,"Virginia 20231219",24,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Memphis"
"2023-11-06",20231106,"Away","Marshall","L",73,89,"OOC",-16,"Marshall 20231106",211,"Other",80,91.2,111.2,73,89,37.1,26.9,22.5,37,28.6,35.1,30.8,15,33.3,21.6,"Queens"
"2023-11-10",20231110,"Away","Southern Illinois","L",68,91,"OOC",-23,"Southern Illinois 20231110",91,"NET Top 100",71,95.9,128.3,68,91,43.1,22.7,22.6,23.5,49,39.1,32,9.9,34.4,35.9,"Queens"
"2023-11-14",20231114,"Home","High Point","W",74,72,"OOC",2,"High Point 20231114",119,"Other",69,107.5,104.6,74,72,43.1,39.3,7.3,23.3,32.3,33.8,36.4,20.3,44.7,18.5,"Queens"
"2023-11-18",20231118,"Away","Fairfield","W",69,63,"OOC",6,"Fairfield 20231118",270,"Other",70,98.8,90.2,69,63,43.1,28,15.8,23.5,31,44.2,26.1,22.9,18.2,32.7,"Queens"
"2023-11-19",20231119,"Away","Drexel","L",52,62,"OOC",-10,"Drexel 20231119",106,"Other",63,82.3,98.2,52,62,34.5,30,17.4,30.9,24.1,29.1,12.5,19,32.3,25.4,"Queens"
"2023-11-22",20231122,"Home","Fairleigh Dickinson","W",97,84,"OOC",13,"Fairleigh Dickinson 20231122",288,"Other",79,123.4,106.9,97,84,41.2,32.1,14,36.1,41.2,47,29,16.5,32.5,37.9,"Queens"
"2023-11-25",20231125,"Away","Richmond","L",61,90,"OOC",-29,"Richmond 20231125",86,"NET Top 100",77,78.9,116.4,61,90,55.6,25,18.1,25,13.9,33.8,32,7.8,14.3,5.4,"Queens"
"2023-11-29",20231129,"Home","Gardner-Webb","W",83,80,"OOC",3,"Gardner-Webb 20231129",202,"Other",76,109.9,105.9,83,80,39.7,40.7,17.2,41.9,38.2,25.8,17.6,14.6,37.2,47,"Queens"
"2023-12-01",20231201,"Home","Carolina Christian","W",134,69,"OOC",65,"Carolina Christian 20231201",NA,"Other",79,169.7,87.4,134,69,48.8,53.7,10.1,55.3,22.6,47.3,42.3,20.3,13.2,45.5,"Queens"
"2023-12-05",20231205,"Away","Winthrop","L",82,88,"OOC",-6,"Winthrop 20231205",166,"Other",82,99.9,107.2,82,88,43.1,25.8,18.3,34.8,27.8,32.3,28.6,18.3,30.9,53.9,"Queens"
"2023-12-09",20231209,"Home","Carolina",NA,NA,NA,"OOC",NA,"Carolina 20231209",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queens"
"2023-12-13",20231213,"Home","Appalachian State",NA,NA,NA,"OOC",NA,"Appalachian State 20231213",70,"NET Top 100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queens"
"2023-12-19",20231219,"Away","Mercer",NA,NA,NA,"OOC",NA,"Mercer 20231219",282,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queens"
"2023-11-08",20231108,"Home","Utah Tech","W",77,69,"OOC",8,"Utah Tech 20231108",NA,"Other",79,97,87,77,69,50,29.6,25.2,25,51.9,32.8,23.8,17.6,23.3,37.5,"Santa Clara"
"2023-11-11",20231111,"Home","Saint Francis","W",82,59,"OOC",23,"Saint Francis 20231111",NA,"Other",70,117.3,84.4,82,59,28.4,31.6,18.6,50,19.4,44.6,28,20,15.4,28.6,"Santa Clara"
"2023-11-14",20231114,"Away","Stanford","W",89,77,"OOC",12,"Stanford 20231114",136,"Other",76,116.4,100.7,89,77,38.9,46.4,13.1,31.6,13.9,35.8,33.3,15.7,18.9,19.4,"Santa Clara"
"2023-11-18",20231118,"Home","Southeastern Louisiana","W",65,63,"OOC",2,"Southeastern Louisiana 20231118",279,"Other",66,98.3,95.3,65,63,43.4,26.1,19.7,22.2,20.8,37.7,45,22.7,30.3,35.9,"Santa Clara"
"2023-11-20",20231120,"Home","Mississippi Valley State","W",81,39,"OOC",42,"Mississippi Valley State 20231120",362,"Other",63,127.7,61.5,81,39,38.8,23.1,9.5,42.1,22.4,20.3,25,17.3,27.9,16.9,"Santa Clara"
"2023-11-24",20231124,"Away","Oregon","W",88,82,"OOC",6,"Oregon 20231124",53,"NET Top 100",73,120.7,112.5,88,82,28.3,41.2,13.7,30.6,45,55.4,33.3,13.7,28.2,32.3,"Santa Clara"
"2023-11-25",20231125,"Away","Ohio State","L",56,86,"OOC",-30,"Ohio State 20231125",30,"NET Top 50",62,89.7,137.7,56,86,36.4,30,24,40,29.1,44.4,46.4,11.2,34.4,14.3,"Santa Clara"
"2023-11-29",20231129,"Home","Menlo","W",106,69,"OOC",37,"Menlo 20231129",NA,"Other",76,140.3,91.3,106,69,40.8,58.6,18.5,48.6,21.1,33.9,20,18.5,19.4,35.6,"Santa Clara"
"2023-12-02",20231202,"Away","California","L",69,84,"OOC",-15,"California 20231202",223,"Other",68,101.9,124.1,69,84,40.8,34.5,13.3,37,14.1,39.1,36,10.3,30.3,21.9,"Santa Clara"
"2023-12-09",20231209,"Away","New Mexico",NA,NA,NA,"OOC",NA,"New Mexico 20231209",22,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Clara"
"2023-12-13",20231213,"Home","Utah State",NA,NA,NA,"OOC",NA,"Utah State 20231213",45,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Clara"
"2023-12-16",20231216,"Away","Washington State",NA,NA,NA,"OOC",NA,"Washington State 20231216",52,"NET Top 100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Clara"
"2023-11-06",20231106,"Away","Kentucky","L",46,86,"OOC",-40,"Kentucky 20231106",25,"NET Top 50",70,66,123.4,46,86,41.1,21.7,25.8,15.8,8.9,44.6,31,8.6,28.9,29.2,"New Mexico State"
"2023-11-08",20231108,"Home","Sul Ross State","W",84,49,"OOC",35,"Sul Ross State 20231108",NA,"Other",76,111,64.7,84,49,29.7,31.6,13.2,42.1,62.5,58.9,24.2,26.4,10.8,8.9,"New Mexico State"
"2023-11-11",20231111,"Away","UC Irvine","L",74,91,"OOC",-17,"UC Irvine 20231111",55,"NET Top 100",74,99.8,122.8,74,91,25.4,43.8,14.8,23.1,30.2,40.4,43.5,17.5,35.5,56.1,"New Mexico State"
"2023-11-14",20231114,"Home","Western New Mexico","W",78,43,"OOC",35,"Western New Mexico 20231114",NA,"Other",67,116.2,64.1,78,43,44.1,50,7.5,17.2,25.4,47.4,25.9,17.9,19.1,26.3,"New Mexico State"
"2023-11-18",20231118,"Home","Northern Colorado","W",76,71,"OOC",5,"Northern Colorado 20231118",300,"Other",77,98.4,91.9,76,71,42.6,39.1,18.1,21.2,63,47.2,28,23.3,21.2,52.8,"New Mexico State"
"2023-11-21",20231121,"Away","Fresno State","L",76,81,"OOC",-5,"Fresno State 20231121",226,"Other",66,102.2,109,76,81,42.4,32,16.1,21.2,39,50.9,44.4,20.2,27.3,58.5,"New Mexico State"
"2023-11-22",20231122,"Away","Southern Illinois","L",54,81,"OOC",-27,"Southern Illinois 20231122",91,"NET Top 100",64,85,127.4,54,81,19.1,0,18.9,28.6,61.7,64.8,45.7,7.9,21.2,48.1,"New Mexico State"
"2023-11-26",20231126,"Away","Louisville","L",84,90,"OOC",-6,"Louisville 20231126",245,"Other",68,109.5,117.4,84,90,30,27.8,20.9,28.6,28.3,35.7,20,16.9,38.5,87.5,"New Mexico State"
"2023-11-28",20231128,"Home","Southwest","W",84,49,"OOC",35,"Southwest 20231128",NA,"Other",69,121.8,71,84,49,30.8,55,17.4,45.2,15.4,40,31.8,21.8,18.2,23.6,"New Mexico State"
"2023-12-02",20231202,"Away","New Mexico","L",62,106,"OOC",-44,"New Mexico 20231202",22,"NET Top 50",69,90,153.9,62,106,37.5,16.7,24.7,33.3,58.3,47.2,56,10.2,29,77.4,"New Mexico State"
"2023-12-12",20231212,"Home","Northern New Mexico",NA,NA,NA,"OOC",NA,"Northern New Mexico 20231212",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico State"
"2023-12-15",20231215,"Home","New Mexico",NA,NA,NA,"OOC",NA,"New Mexico 20231215",22,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico State"
"2023-12-19",20231219,"Away","Stephen F. Austin",NA,NA,NA,"OOC",NA,"Stephen F. Austin 20231219",111,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico State"
"2023-11-07",20231107,"Away","San José State","L",64,72,"OOC",-8,"San José State 20231107",141,"Other",73,87.5,98.4,64,72,21.8,16.7,20.5,21.9,47.3,42,33.3,20.5,17.2,46,"UC Irvine"
"2023-11-11",20231111,"Home","New Mexico State","W",91,74,"OOC",17,"New Mexico State 20231111",294,"Other",74,122.8,99.8,91,74,40.4,43.5,17.5,35.5,56.1,25.4,43.8,14.8,23.1,30.2,"UC Irvine"
"2023-11-14",20231114,"Away","USC","W",70,60,"OOC",10,"USC 20231114",41,"NET Top 50",70,99.7,85.5,70,60,40.3,32,12.8,23.7,27.4,35.6,19,22.8,37,44.1,"UC Irvine"
"2023-11-17",20231117,"Home","Occidental","W",111,51,"OOC",60,"Occidental 20231117",NA,"Other",76,146.8,67.5,111,51,29.5,34.8,9.3,41.9,11.5,28.8,17.6,25.1,13.5,6.8,"UC Irvine"
"2023-11-21",20231121,"Away","Pepperdine","W",76,60,"OOC",16,"Pepperdine 20231121",228,"Other",66,114.3,90.3,76,60,21.7,46.2,21.1,41.2,28.3,27.5,21.4,16.6,23.7,49,"UC Irvine"
"2023-11-22",20231122,"Away","Toledo","W",77,71,"OOC",6,"Toledo 20231122",117,"Other",69,111.6,102.9,77,71,24.1,46.2,20.3,34.5,42.6,18.8,33.3,20.3,46.1,29.7,"UC Irvine"
"2023-11-24",20231124,"Away","Rice","W",83,68,"OOC",15,"Rice 20231124",265,"Other",73,114.2,93.6,83,68,22.4,38.5,16.5,29,41.4,22.8,30.8,13.8,13.5,40.4,"UC Irvine"
"2023-11-29",20231129,"Away","Duquesne","L",62,66,"OOC",-4,"Duquesne 20231129",48,"NET Top 50",67,92.3,98.2,62,66,33.3,38.9,29.8,35.5,20.4,31,50,16.4,26.3,25.9,"UC Irvine"
"2023-12-02",20231202,"Away","Utah State","L",69,79,"OOC",-10,"Utah State 20231202",45,"NET Top 50",65,105.5,120.8,69,79,22.8,38.5,16.8,28.1,24.6,40.7,33.3,13.8,34.5,25.4,"UC Irvine"
"2023-12-09",20231209,"Away","San Diego State",NA,NA,NA,"OOC",NA,"San Diego State 20231209",28,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UC Irvine"
"2023-12-16",20231216,"Home","South Dakota",NA,NA,NA,"OOC",NA,"South Dakota 20231216",295,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UC Irvine"
"2023-12-20",20231220,"Away","New Mexico",NA,NA,NA,"OOC",NA,"New Mexico 20231220",22,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UC Irvine"
"2023-11-06",20231106,"Home","Nicholls","W",91,81,"OOC",10,"Nicholls 20231106",237,"Other",76,119.4,106.3,91,81,46.2,26.7,11.8,24.3,35.4,43.8,35.7,23.6,37.5,31.2,"Tulane"
"2023-11-09",20231109,"Home","Northwestern State","W",88,71,"OOC",17,"Northwestern State 20231109",353,"Other",77,114,92,88,71,25,7.1,15.5,20.7,57.1,46.3,25.8,20.7,27.5,16.4,"Tulane"
"2023-11-17",20231117,"Home","Sacramento State","W",92,57,"OOC",35,"Sacramento State 20231117",280,"Other",73,125.9,78,92,57,44.6,44,12.3,0,33.9,55.6,26.7,32.8,36.1,27.8,"Tulane"
"2023-11-20",20231120,"Away","Bradley","L",77,80,"OOC",-3,"Bradley 20231120",88,"NET Top 100",69,111.2,115.6,77,80,30.8,18.8,10.1,29,71.2,40.7,33.3,20.2,40,42.4,"Tulane"
"2023-11-22",20231122,"Away","California","W",84,81,"OOC",3,"California 20231122",223,"Other",79,107,103.2,84,81,30.6,31.6,14,15.6,30.6,44.3,37,25.5,33.3,31.1,"Tulane"
"2023-11-29",20231129,"Home","Prairie View A&M","W",98,77,"OOC",21,"Prairie View A&M 20231129",238,"Other",83,117.5,92.3,98,77,33.3,40,22.8,13.6,106.7,25,22.2,13.2,21.7,29.2,"Tulane"
"2023-12-03",20231203,"Away","Fordham","W",89,81,"OOC",8,"Fordham 20231203",199,"Other",76,117.3,106.8,89,81,20.8,50,17.1,18.5,87.5,43.8,34.4,18.5,36.4,13.7,"Tulane"
"2023-12-09",20231209,"Away","Mississippi State",NA,NA,NA,"OOC",NA,"Mississippi State 20231209",46,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tulane"
"2023-12-14",20231214,"Home","Furman",NA,NA,NA,"OOC",NA,"Furman 20231214",134,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tulane"
"2023-12-16",20231216,"Home","Southern",NA,NA,NA,"OOC",NA,"Southern 20231216",274,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tulane"
"2023-11-06",20231106,"Home","Midway","W",91,58,"OOC",33,"Midway 20231106",NA,"Other",73,124.4,79.3,91,58,37.9,44,16.4,40.5,31.8,33.9,28.6,21.9,20,11.3,"Murray State"
"2023-11-10",20231110,"Home","Tennessee Tech","W",78,72,"OOC",6,"Tennessee Tech 20231110",298,"Other",69,113.2,104.5,78,72,26.3,33.3,16,29.4,38.6,28.6,33.3,11.6,12.1,7.9,"Murray State"
"2023-11-14",20231114,"Home","Western Kentucky","L",81,86,"OOC",-5,"Western Kentucky 20231114",187,"Other",74,110.1,116.9,81,86,37.7,34.8,14.9,36.8,52.5,28.1,50,20.4,28.6,36.8,"Murray State"
"2023-11-20",20231120,"Away","UNC Wilmington","L",81,83,"OOC",-2,"UNC Wilmington 20231120",95,"NET Top 100",65,111.6,114.4,81,83,36.8,36,9.7,26.8,23.5,25.8,35.3,9.7,21.6,27.3,"Murray State"
"2023-11-22",20231122,"Away","Appalachian State","L",57,67,"OOC",-10,"Appalachian State 20231122",70,"NET Top 100",69,83.1,97.7,57,67,31,16.7,16,17.9,27.6,42.6,26.9,14.6,28.2,26.2,"Murray State"
