"Team","split","input","game_code","stats"
"Houston","away","Winning_Margin","East Carolina 20230225",19
"Houston","away","Winning_Margin","Memphis 20230305",2
"Houston","away","Winning_Margin","East Carolina 20230310",14
"Houston","away","Winning_Margin","Cincinnati 20230311",21
"Houston","away","Winning_Margin","Memphis 20230312",-10
"Houston","away","Winning_Margin","Northern Kentucky 20230316",11
"Houston","away","Winning_Margin","Auburn 20230318",17
"Houston","away","Winning_Margin","Miami 20230324",-14
"Houston","net50","Winning_Margin","Oral Roberts 20221114",38
"Houston","net50","Winning_Margin","Oregon 20221120",10
"Houston","net50","Winning_Margin","Saint Mary's 20221203",5
"Houston","net50","Winning_Margin","Alabama 20221210",-6
"Houston","net50","Winning_Margin","Virginia 20221217",8
"Houston","net50","Winning_Margin","Memphis 20230219",8
"Houston","net50","Winning_Margin","Memphis 20230305",2
"Houston","net50","Winning_Margin","Memphis 20230312",-10
"Houston","net50","Winning_Margin","Auburn 20230318",17
"Houston","net50","Winning_Margin","Miami 20230324",-14
"Houston","net100","Winning_Margin","Oral Roberts 20221114",38
"Houston","net100","Winning_Margin","Oregon 20221120",10
"Houston","net100","Winning_Margin","Kent State 20221126",5
"Houston","net100","Winning_Margin","Saint Mary's 20221203",5
"Houston","net100","Winning_Margin","Alabama 20221210",-6
"Houston","net100","Winning_Margin","Virginia 20221217",8
"Houston","net100","Winning_Margin","UCF 20221231",6
"Houston","net100","Winning_Margin","Cincinnati 20230108",13
"Houston","net100","Winning_Margin","UCF 20230125",11
"Houston","net100","Winning_Margin","Cincinnati 20230128",6
"Houston","net100","Winning_Margin","Memphis 20230219",8
"Houston","net100","Winning_Margin","Memphis 20230305",2
"Houston","net100","Winning_Margin","Cincinnati 20230311",21
"Houston","net100","Winning_Margin","Memphis 20230312",-10
"Houston","net100","Winning_Margin","Auburn 20230318",17
"Houston","net100","Winning_Margin","Miami 20230324",-14
"Houston","wins","Winning_Margin","Northern Colorado 20221107",47
"Houston","wins","Winning_Margin","Saint Joseph's 20221111",26
"Houston","wins","Winning_Margin","Oral Roberts 20221114",38
"Houston","wins","Winning_Margin","Texas Southern 20221116",35
"Houston","wins","Winning_Margin","Oregon 20221120",10
"Houston","wins","Winning_Margin","Kent State 20221126",5
"Houston","wins","Winning_Margin","Norfolk State 20221129",48
"Houston","wins","Winning_Margin","Saint Mary's 20221203",5
"Houston","wins","Winning_Margin","North Florida 20221206",34
"Houston","wins","Winning_Margin","North Carolina A&T 20221213",28
"Houston","wins","Winning_Margin","Virginia 20221217",8
"Houston","wins","Winning_Margin","McNeese 20221221",39
"Houston","wins","Winning_Margin","Tulsa 20221228",39
"Houston","wins","Winning_Margin","UCF 20221231",6
"Houston","wins","Winning_Margin","SMU 20230105",34
"Houston","wins","Winning_Margin","Cincinnati 20230108",13
"Houston","wins","Winning_Margin","South Florida 20230111",6
"Houston","wins","Winning_Margin","Tulane 20230117",20
"Houston","wins","Winning_Margin","UCF 20230125",11
"Houston","wins","Winning_Margin","Cincinnati 20230128",6
"Houston","wins","Winning_Margin","Wichita State 20230202",9
"Houston","wins","Winning_Margin","Temple 20230205",16
"Houston","wins","Winning_Margin","Tulsa 20230208",38
"Houston","wins","Winning_Margin","SMU 20230216",15
"Houston","wins","Winning_Margin","Memphis 20230219",8
"Houston","wins","Winning_Margin","Tulane 20230222",30
"Houston","wins","Winning_Margin","East Carolina 20230225",19
"Houston","wins","Winning_Margin","Wichita State 20230302",17
"Houston","wins","Winning_Margin","Memphis 20230305",2
"Houston","wins","Winning_Margin","East Carolina 20230310",14
"Houston","wins","Winning_Margin","Cincinnati 20230311",21
"Houston","wins","Winning_Margin","Northern Kentucky 20230316",11
"Houston","wins","Winning_Margin","Auburn 20230318",17
"Houston","losses","Winning_Margin","Alabama 20221210",-6
"Houston","losses","Winning_Margin","Temple 20230122",-1
"Houston","losses","Winning_Margin","Memphis 20230312",-10
"Houston","losses","Winning_Margin","Miami 20230324",-14
"Houston","conf","Winning_Margin","Tulsa 20221228",39
"Houston","conf","Winning_Margin","UCF 20221231",6
"Houston","conf","Winning_Margin","SMU 20230105",34
"Houston","conf","Winning_Margin","Cincinnati 20230108",13
"Houston","conf","Winning_Margin","South Florida 20230111",6
"Houston","conf","Winning_Margin","Tulane 20230117",20
"Houston","conf","Winning_Margin","Temple 20230122",-1
"Houston","conf","Winning_Margin","UCF 20230125",11
"Houston","conf","Winning_Margin","Cincinnati 20230128",6
"Houston","conf","Winning_Margin","Wichita State 20230202",9
"Houston","conf","Winning_Margin","Temple 20230205",16
"Houston","conf","Winning_Margin","Tulsa 20230208",38
"Houston","conf","Winning_Margin","SMU 20230216",15
"Houston","conf","Winning_Margin","Memphis 20230219",8
"Houston","conf","Winning_Margin","Tulane 20230222",30
"Houston","conf","Winning_Margin","East Carolina 20230225",19
"Houston","conf","Winning_Margin","Wichita State 20230302",17
"Houston","conf","Winning_Margin","Memphis 20230305",2
"Houston","recency5","ATS_Margin","Cincinnati 20230311",12
"Houston","recency5","ATS_Margin","Memphis 20230312",-15
"Houston","recency5","ATS_Margin","Northern Kentucky 20230316",-8
"Houston","recency5","ATS_Margin","Auburn 20230318",12
"Houston","recency5","ATS_Margin","Miami 20230324",-21
"Houston","recency10","ATS_Margin","Tulane 20230222",15
"Houston","recency10","ATS_Margin","East Carolina 20230225",-2
"Houston","recency10","ATS_Margin","Wichita State 20230302",0
"Houston","recency10","ATS_Margin","Memphis 20230305",-2
"Houston","recency10","ATS_Margin","East Carolina 20230310",-9
"Houston","recency10","ATS_Margin","Cincinnati 20230311",12
"Houston","recency10","ATS_Margin","Memphis 20230312",-15
"Houston","recency10","ATS_Margin","Northern Kentucky 20230316",-8
"Houston","recency10","ATS_Margin","Auburn 20230318",12
"Houston","recency10","ATS_Margin","Miami 20230324",-21
"Houston","home","ATS_Margin","Northern Colorado 20221107",24
"Houston","home","ATS_Margin","Oral Roberts 20221114",18
"Houston","home","ATS_Margin","Texas Southern 20221116",4
"Houston","home","ATS_Margin","Kent State 20221126",-14
"Houston","home","ATS_Margin","Norfolk State 20221129",22
"Houston","home","ATS_Margin","North Florida 20221206",2
"Houston","home","ATS_Margin","Alabama 20221210",-14
"Houston","home","ATS_Margin","North Carolina A&T 20221213",-4
"Houston","home","ATS_Margin","McNeese 20221221",4
"Houston","home","ATS_Margin","UCF 20221231",-9
"Houston","home","ATS_Margin","SMU 20230105",14
"Houston","home","ATS_Margin","South Florida 20230111",-17
"Houston","home","ATS_Margin","Temple 20230122",-20
"Houston","home","ATS_Margin","Cincinnati 20230128",-8
"Houston","home","ATS_Margin","Tulsa 20230208",10
"Houston","home","ATS_Margin","Memphis 20230219",-6
"Houston","home","ATS_Margin","Tulane 20230222",15
"Houston","home","ATS_Margin","Wichita State 20230302",0
"Houston","away","ATS_Margin","Saint Joseph's 20221111",5
"Houston","away","ATS_Margin","Oregon 20221120",3
"Houston","away","ATS_Margin","Saint Mary's 20221203",-5
"Houston","away","ATS_Margin","Virginia 20221217",6
"Houston","away","ATS_Margin","Tulsa 20221228",NA
"Houston","away","ATS_Margin","Cincinnati 20230108",4
"Houston","away","ATS_Margin","Tulane 20230117",10
"Houston","away","ATS_Margin","UCF 20230125",2
"Houston","away","ATS_Margin","Wichita State 20230202",-3
"Houston","away","ATS_Margin","Temple 20230205",6
"Houston","away","ATS_Margin","SMU 20230216",0
"Houston","away","ATS_Margin","East Carolina 20230225",-2
"Houston","away","ATS_Margin","Memphis 20230305",-2
"Houston","away","ATS_Margin","East Carolina 20230310",-9
"Houston","away","ATS_Margin","Cincinnati 20230311",12
"Houston","away","ATS_Margin","Memphis 20230312",-15
"Houston","away","ATS_Margin","Northern Kentucky 20230316",-8
"Houston","away","ATS_Margin","Auburn 20230318",12
"Houston","away","ATS_Margin","Miami 20230324",-21
"Houston","net50","ATS_Margin","Oral Roberts 20221114",18
"Houston","net50","ATS_Margin","Oregon 20221120",3
"Houston","net50","ATS_Margin","Saint Mary's 20221203",-5
"Houston","net50","ATS_Margin","Alabama 20221210",-14
"Houston","net50","ATS_Margin","Virginia 20221217",6
"Houston","net50","ATS_Margin","Memphis 20230219",-6
"Houston","net50","ATS_Margin","Memphis 20230305",-2
"Houston","net50","ATS_Margin","Memphis 20230312",-15
"Houston","net50","ATS_Margin","Auburn 20230318",12
"Houston","net50","ATS_Margin","Miami 20230324",-21
"Houston","net100","ATS_Margin","Oral Roberts 20221114",18
"Houston","net100","ATS_Margin","Oregon 20221120",3
"Houston","net100","ATS_Margin","Kent State 20221126",-14
"Houston","net100","ATS_Margin","Saint Mary's 20221203",-5
"Houston","net100","ATS_Margin","Alabama 20221210",-14
"Houston","net100","ATS_Margin","Virginia 20221217",6
"Houston","net100","ATS_Margin","UCF 20221231",-9
"Houston","net100","ATS_Margin","Cincinnati 20230108",4
"Houston","net100","ATS_Margin","UCF 20230125",2
"Houston","net100","ATS_Margin","Cincinnati 20230128",-8
"Houston","net100","ATS_Margin","Memphis 20230219",-6
"Houston","net100","ATS_Margin","Memphis 20230305",-2
"Houston","net100","ATS_Margin","Cincinnati 20230311",12
"Houston","net100","ATS_Margin","Memphis 20230312",-15
"Houston","net100","ATS_Margin","Auburn 20230318",12
"Houston","net100","ATS_Margin","Miami 20230324",-21
"Houston","wins","ATS_Margin","Northern Colorado 20221107",24
"Houston","wins","ATS_Margin","Saint Joseph's 20221111",5
"Houston","wins","ATS_Margin","Oral Roberts 20221114",18
"Houston","wins","ATS_Margin","Texas Southern 20221116",4
"Houston","wins","ATS_Margin","Oregon 20221120",3
"Houston","wins","ATS_Margin","Kent State 20221126",-14
"Houston","wins","ATS_Margin","Norfolk State 20221129",22
"Houston","wins","ATS_Margin","Saint Mary's 20221203",-5
"Houston","wins","ATS_Margin","North Florida 20221206",2
"Houston","wins","ATS_Margin","North Carolina A&T 20221213",-4
"Houston","wins","ATS_Margin","Virginia 20221217",6
"Houston","wins","ATS_Margin","McNeese 20221221",4
"Houston","wins","ATS_Margin","Tulsa 20221228",NA
"Houston","wins","ATS_Margin","UCF 20221231",-9
"Houston","wins","ATS_Margin","SMU 20230105",14
"Houston","wins","ATS_Margin","Cincinnati 20230108",4
"Houston","wins","ATS_Margin","South Florida 20230111",-17
"Houston","wins","ATS_Margin","Tulane 20230117",10
"Houston","wins","ATS_Margin","UCF 20230125",2
"Houston","wins","ATS_Margin","Cincinnati 20230128",-8
"Houston","wins","ATS_Margin","Wichita State 20230202",-3
"Houston","wins","ATS_Margin","Temple 20230205",6
"Houston","wins","ATS_Margin","Tulsa 20230208",10
"Houston","wins","ATS_Margin","SMU 20230216",0
"Houston","wins","ATS_Margin","Memphis 20230219",-6
"Houston","wins","ATS_Margin","Tulane 20230222",15
"Houston","wins","ATS_Margin","East Carolina 20230225",-2
"Houston","wins","ATS_Margin","Wichita State 20230302",0
"Houston","wins","ATS_Margin","Memphis 20230305",-2
"Houston","wins","ATS_Margin","East Carolina 20230310",-9
"Houston","wins","ATS_Margin","Cincinnati 20230311",12
"Houston","wins","ATS_Margin","Northern Kentucky 20230316",-8
"Houston","wins","ATS_Margin","Auburn 20230318",12
"Houston","losses","ATS_Margin","Alabama 20221210",-14
"Houston","losses","ATS_Margin","Temple 20230122",-20
"Houston","losses","ATS_Margin","Memphis 20230312",-15
"Houston","losses","ATS_Margin","Miami 20230324",-21
"Houston","conf","ATS_Margin","Tulsa 20221228",NA
"Houston","conf","ATS_Margin","UCF 20221231",-9
"Houston","conf","ATS_Margin","SMU 20230105",14
"Houston","conf","ATS_Margin","Cincinnati 20230108",4
"Houston","conf","ATS_Margin","South Florida 20230111",-17
"Houston","conf","ATS_Margin","Tulane 20230117",10
"Houston","conf","ATS_Margin","Temple 20230122",-20
"Houston","conf","ATS_Margin","UCF 20230125",2
"Houston","conf","ATS_Margin","Cincinnati 20230128",-8
"Houston","conf","ATS_Margin","Wichita State 20230202",-3
"Houston","conf","ATS_Margin","Temple 20230205",6
"Houston","conf","ATS_Margin","Tulsa 20230208",10
"Houston","conf","ATS_Margin","SMU 20230216",0
"Houston","conf","ATS_Margin","Memphis 20230219",-6
"Houston","conf","ATS_Margin","Tulane 20230222",15
"Houston","conf","ATS_Margin","East Carolina 20230225",-2
"Houston","conf","ATS_Margin","Wichita State 20230302",0
"Houston","conf","ATS_Margin","Memphis 20230305",-2
"Houston","recency5","Pace","Cincinnati 20230311",65
"Houston","recency5","Pace","Memphis 20230312",65
"Houston","recency5","Pace","Northern Kentucky 20230316",62
"Houston","recency5","Pace","Auburn 20230318",64
"Houston","recency5","Pace","Miami 20230324",70
"Houston","recency10","Pace","Tulane 20230222",71
"Houston","recency10","Pace","East Carolina 20230225",64
"Houston","recency10","Pace","Wichita State 20230302",65
"Houston","recency10","Pace","Memphis 20230305",64
"Houston","recency10","Pace","East Carolina 20230310",71
"Houston","recency10","Pace","Cincinnati 20230311",65
"Houston","recency10","Pace","Memphis 20230312",65
"Houston","recency10","Pace","Northern Kentucky 20230316",62
"Houston","recency10","Pace","Auburn 20230318",64
"Houston","recency10","Pace","Miami 20230324",70
"Houston","home","Pace","Northern Colorado 20221107",64
"Houston","home","Pace","Oral Roberts 20221114",67
"Houston","home","Pace","Texas Southern 20221116",66
"Houston","home","Pace","Kent State 20221126",70
"Houston","home","Pace","Norfolk State 20221129",64
"Houston","home","Pace","North Florida 20221206",61
"Houston","home","Pace","Alabama 20221210",72
"Houston","home","Pace","North Carolina A&T 20221213",68
"Houston","home","Pace","McNeese 20221221",62
"Houston","home","Pace","UCF 20221231",63
"Houston","home","Pace","SMU 20230105",66
"Houston","home","Pace","South Florida 20230111",68
"Houston","home","Pace","Temple 20230122",62
"Houston","home","Pace","Cincinnati 20230128",63
"Houston","home","Pace","Tulsa 20230208",63
"Houston","home","Pace","Memphis 20230219",66
"Houston","home","Pace","Tulane 20230222",71
"Houston","home","Pace","Wichita State 20230302",65
"Houston","away","Pace","Saint Joseph's 20221111",69
"Houston","away","Pace","Oregon 20221120",60
"Houston","away","Pace","Saint Mary's 20221203",56
"Houston","away","Pace","Virginia 20221217",59
"Houston","away","Pace","Tulsa 20221228",66
"Houston","away","Pace","Cincinnati 20230108",66
"Houston","away","Pace","Tulane 20230117",67
"Houston","away","Pace","UCF 20230125",61
"Houston","away","Pace","Wichita State 20230202",61
"Houston","away","Pace","Temple 20230205",62
"Houston","away","Pace","SMU 20230216",67
"Houston","away","Pace","East Carolina 20230225",64
"Houston","away","Pace","Memphis 20230305",64
"Houston","away","Pace","East Carolina 20230310",71
"Houston","away","Pace","Cincinnati 20230311",65
"Houston","away","Pace","Memphis 20230312",65
"Houston","away","Pace","Northern Kentucky 20230316",62
"Houston","away","Pace","Auburn 20230318",64
"Houston","away","Pace","Miami 20230324",70
"Houston","net50","Pace","Oral Roberts 20221114",67
"Houston","net50","Pace","Oregon 20221120",60
"Houston","net50","Pace","Saint Mary's 20221203",56
"Houston","net50","Pace","Alabama 20221210",72
"Houston","net50","Pace","Virginia 20221217",59
"Houston","net50","Pace","Memphis 20230219",66
"Houston","net50","Pace","Memphis 20230305",64
"Houston","net50","Pace","Memphis 20230312",65
"Houston","net50","Pace","Auburn 20230318",64
"Houston","net50","Pace","Miami 20230324",70
"Houston","net100","Pace","Oral Roberts 20221114",67
"Houston","net100","Pace","Oregon 20221120",60
"Houston","net100","Pace","Kent State 20221126",70
"Houston","net100","Pace","Saint Mary's 20221203",56
"Houston","net100","Pace","Alabama 20221210",72
"Houston","net100","Pace","Virginia 20221217",59
"Houston","net100","Pace","UCF 20221231",63
"Houston","net100","Pace","Cincinnati 20230108",66
"Houston","net100","Pace","UCF 20230125",61
"Houston","net100","Pace","Cincinnati 20230128",63
"Houston","net100","Pace","Memphis 20230219",66
"Houston","net100","Pace","Memphis 20230305",64
"Houston","net100","Pace","Cincinnati 20230311",65
"Houston","net100","Pace","Memphis 20230312",65
"Houston","net100","Pace","Auburn 20230318",64
"Houston","net100","Pace","Miami 20230324",70
"Houston","wins","Pace","Northern Colorado 20221107",64
"Houston","wins","Pace","Saint Joseph's 20221111",69
"Houston","wins","Pace","Oral Roberts 20221114",67
"Houston","wins","Pace","Texas Southern 20221116",66
"Houston","wins","Pace","Oregon 20221120",60
"Houston","wins","Pace","Kent State 20221126",70
"Houston","wins","Pace","Norfolk State 20221129",64
"Houston","wins","Pace","Saint Mary's 20221203",56
"Houston","wins","Pace","North Florida 20221206",61
"Houston","wins","Pace","North Carolina A&T 20221213",68
"Houston","wins","Pace","Virginia 20221217",59
"Houston","wins","Pace","McNeese 20221221",62
"Houston","wins","Pace","Tulsa 20221228",66
"Houston","wins","Pace","UCF 20221231",63
"Houston","wins","Pace","SMU 20230105",66
"Houston","wins","Pace","Cincinnati 20230108",66
"Houston","wins","Pace","South Florida 20230111",68
"Houston","wins","Pace","Tulane 20230117",67
"Houston","wins","Pace","UCF 20230125",61
"Houston","wins","Pace","Cincinnati 20230128",63
"Houston","wins","Pace","Wichita State 20230202",61
"Houston","wins","Pace","Temple 20230205",62
"Houston","wins","Pace","Tulsa 20230208",63
"Houston","wins","Pace","SMU 20230216",67
"Houston","wins","Pace","Memphis 20230219",66
"Houston","wins","Pace","Tulane 20230222",71
"Houston","wins","Pace","East Carolina 20230225",64
"Houston","wins","Pace","Wichita State 20230302",65
"Houston","wins","Pace","Memphis 20230305",64
"Houston","wins","Pace","East Carolina 20230310",71
"Houston","wins","Pace","Cincinnati 20230311",65
"Houston","wins","Pace","Northern Kentucky 20230316",62
"Houston","wins","Pace","Auburn 20230318",64
"Houston","losses","Pace","Alabama 20221210",72
"Houston","losses","Pace","Temple 20230122",62
"Houston","losses","Pace","Memphis 20230312",65
"Houston","losses","Pace","Miami 20230324",70
"Houston","conf","Pace","Tulsa 20221228",66
"Houston","conf","Pace","UCF 20221231",63
"Houston","conf","Pace","SMU 20230105",66
"Houston","conf","Pace","Cincinnati 20230108",66
"Houston","conf","Pace","South Florida 20230111",68
"Houston","conf","Pace","Tulane 20230117",67
"Houston","conf","Pace","Temple 20230122",62
"Houston","conf","Pace","UCF 20230125",61
"Houston","conf","Pace","Cincinnati 20230128",63
"Houston","conf","Pace","Wichita State 20230202",61
"Houston","conf","Pace","Temple 20230205",62
"Houston","conf","Pace","Tulsa 20230208",63
"Houston","conf","Pace","SMU 20230216",67
"Houston","conf","Pace","Memphis 20230219",66
"Houston","conf","Pace","Tulane 20230222",71
"Houston","conf","Pace","East Carolina 20230225",64
"Houston","conf","Pace","Wichita State 20230302",65
"Houston","conf","Pace","Memphis 20230305",64
"Houston","recency5","Offensive_Efficency","Cincinnati 20230311",105.8
"Houston","recency5","Offensive_Efficency","Memphis 20230312",99.8
"Houston","recency5","Offensive_Efficency","Northern Kentucky 20230316",101.2
"Houston","recency5","Offensive_Efficency","Auburn 20230318",125.7
"Houston","recency5","Offensive_Efficency","Miami 20230324",107.5
"Houston","recency10","Offensive_Efficency","Tulane 20230222",125.9
"Houston","recency10","Offensive_Efficency","East Carolina 20230225",119.3
"Houston","recency10","Offensive_Efficency","Wichita State 20230302",127.3
"Houston","recency10","Offensive_Efficency","Memphis 20230305",104.2
"Houston","recency10","Offensive_Efficency","East Carolina 20230310",84
"Houston","recency10","Offensive_Efficency","Cincinnati 20230311",105.8
"Houston","recency10","Offensive_Efficency","Memphis 20230312",99.8
"Houston","recency10","Offensive_Efficency","Northern Kentucky 20230316",101.2
"Houston","recency10","Offensive_Efficency","Auburn 20230318",125.7
"Houston","recency10","Offensive_Efficency","Miami 20230324",107.5
"Houston","home","Offensive_Efficency","Northern Colorado 20221107",130.3
"Houston","home","Offensive_Efficency","Oral Roberts 20221114",123.9
"Houston","home","Offensive_Efficency","Texas Southern 20221116",126.1
"Houston","home","Offensive_Efficency","Kent State 20221126",70.4
"Houston","home","Offensive_Efficency","Norfolk State 20221129",155.1
"Houston","home","Offensive_Efficency","North Florida 20221206",125.5
"Houston","home","Offensive_Efficency","Alabama 20221210",90.5
"Houston","home","Offensive_Efficency","North Carolina A&T 20221213",109.5
"Houston","home","Offensive_Efficency","McNeese 20221221",134.8
"Houston","home","Offensive_Efficency","UCF 20221231",113.2
"Houston","home","Offensive_Efficency","SMU 20230105",131.5
"Houston","home","Offensive_Efficency","South Florida 20230111",122
"Houston","home","Offensive_Efficency","Temple 20230122",88.4
"Houston","home","Offensive_Efficency","Cincinnati 20230128",119.1
"Houston","home","Offensive_Efficency","Tulsa 20230208",126.5
"Houston","home","Offensive_Efficency","Memphis 20230219",108.8
"Houston","home","Offensive_Efficency","Tulane 20230222",125.9
"Houston","home","Offensive_Efficency","Wichita State 20230302",127.3
"Houston","away","Offensive_Efficency","Saint Joseph's 20221111",117.9
"Houston","away","Offensive_Efficency","Oregon 20221120",109.8
"Houston","away","Offensive_Efficency","Saint Mary's 20221203",94.6
"Houston","away","Offensive_Efficency","Virginia 20221217",116.7
"Houston","away","Offensive_Efficency","Tulsa 20221228",135
"Houston","away","Offensive_Efficency","Cincinnati 20230108",109.5
"Houston","away","Offensive_Efficency","Tulane 20230117",119.4
"Houston","away","Offensive_Efficency","UCF 20230125",134.9
"Houston","away","Offensive_Efficency","Wichita State 20230202",114.7
"Houston","away","Offensive_Efficency","Temple 20230205",131.7
"Houston","away","Offensive_Efficency","SMU 20230216",118.7
"Houston","away","Offensive_Efficency","East Carolina 20230225",119.3
"Houston","away","Offensive_Efficency","Memphis 20230305",104.2
"Houston","away","Offensive_Efficency","East Carolina 20230310",84
"Houston","away","Offensive_Efficency","Cincinnati 20230311",105.8
"Houston","away","Offensive_Efficency","Memphis 20230312",99.8
"Houston","away","Offensive_Efficency","Northern Kentucky 20230316",101.2
"Houston","away","Offensive_Efficency","Auburn 20230318",125.7
"Houston","away","Offensive_Efficency","Miami 20230324",107.5
"Houston","net50","Offensive_Efficency","Oral Roberts 20221114",123.9
"Houston","net50","Offensive_Efficency","Oregon 20221120",109.8
"Houston","net50","Offensive_Efficency","Saint Mary's 20221203",94.6
"Houston","net50","Offensive_Efficency","Alabama 20221210",90.5
"Houston","net50","Offensive_Efficency","Virginia 20221217",116.7
"Houston","net50","Offensive_Efficency","Memphis 20230219",108.8
"Houston","net50","Offensive_Efficency","Memphis 20230305",104.2
"Houston","net50","Offensive_Efficency","Memphis 20230312",99.8
"Houston","net50","Offensive_Efficency","Auburn 20230318",125.7
"Houston","net50","Offensive_Efficency","Miami 20230324",107.5
"Houston","net100","Offensive_Efficency","Oral Roberts 20221114",123.9
"Houston","net100","Offensive_Efficency","Oregon 20221120",109.8
"Houston","net100","Offensive_Efficency","Kent State 20221126",70.4
"Houston","net100","Offensive_Efficency","Saint Mary's 20221203",94.6
"Houston","net100","Offensive_Efficency","Alabama 20221210",90.5
"Houston","net100","Offensive_Efficency","Virginia 20221217",116.7
"Houston","net100","Offensive_Efficency","UCF 20221231",113.2
"Houston","net100","Offensive_Efficency","Cincinnati 20230108",109.5
"Houston","net100","Offensive_Efficency","UCF 20230125",134.9
"Houston","net100","Offensive_Efficency","Cincinnati 20230128",119.1
"Houston","net100","Offensive_Efficency","Memphis 20230219",108.8
"Houston","net100","Offensive_Efficency","Memphis 20230305",104.2
"Houston","net100","Offensive_Efficency","Cincinnati 20230311",105.8
"Houston","net100","Offensive_Efficency","Memphis 20230312",99.8
"Houston","net100","Offensive_Efficency","Auburn 20230318",125.7
"Houston","net100","Offensive_Efficency","Miami 20230324",107.5
"Houston","wins","Offensive_Efficency","Northern Colorado 20221107",130.3
"Houston","wins","Offensive_Efficency","Saint Joseph's 20221111",117.9
"Houston","wins","Offensive_Efficency","Oral Roberts 20221114",123.9
"Houston","wins","Offensive_Efficency","Texas Southern 20221116",126.1
"Houston","wins","Offensive_Efficency","Oregon 20221120",109.8
"Houston","wins","Offensive_Efficency","Kent State 20221126",70.4
"Houston","wins","Offensive_Efficency","Norfolk State 20221129",155.1
"Houston","wins","Offensive_Efficency","Saint Mary's 20221203",94.6
"Houston","wins","Offensive_Efficency","North Florida 20221206",125.5
"Houston","wins","Offensive_Efficency","North Carolina A&T 20221213",109.5
"Houston","wins","Offensive_Efficency","Virginia 20221217",116.7
"Houston","wins","Offensive_Efficency","McNeese 20221221",134.8
"Houston","wins","Offensive_Efficency","Tulsa 20221228",135
"Houston","wins","Offensive_Efficency","UCF 20221231",113.2
"Houston","wins","Offensive_Efficency","SMU 20230105",131.5
"Houston","wins","Offensive_Efficency","Cincinnati 20230108",109.5
"Houston","wins","Offensive_Efficency","South Florida 20230111",122
"Houston","wins","Offensive_Efficency","Tulane 20230117",119.4
"Houston","wins","Offensive_Efficency","UCF 20230125",134.9
"Houston","wins","Offensive_Efficency","Cincinnati 20230128",119.1
"Houston","wins","Offensive_Efficency","Wichita State 20230202",114.7
"Houston","wins","Offensive_Efficency","Temple 20230205",131.7
"Houston","wins","Offensive_Efficency","Tulsa 20230208",126.5
"Houston","wins","Offensive_Efficency","SMU 20230216",118.7
"Houston","wins","Offensive_Efficency","Memphis 20230219",108.8
"Houston","wins","Offensive_Efficency","Tulane 20230222",125.9
"Houston","wins","Offensive_Efficency","East Carolina 20230225",119.3
"Houston","wins","Offensive_Efficency","Wichita State 20230302",127.3
"Houston","wins","Offensive_Efficency","Memphis 20230305",104.2
"Houston","wins","Offensive_Efficency","East Carolina 20230310",84
"Houston","wins","Offensive_Efficency","Cincinnati 20230311",105.8
